Numéro de ligne	URL	Code HTTP	Encodage	Nombre de mots	Texte
1	https://fr.wikipedia.org/wiki/Robot	200	UTF-8	   15756	Encodage différent de UTF-8
2	https://fr.wikipedia.org/wiki/Robot_de_cuisine	200	UTF-8	    3921	Encodage différent de UTF-8
3	fr.wikipedia.org/wiki/Robot_d%27indexation	URL non valide
4	https://fr.wikipedia.org/wiki/Bot_informatique	200	UTF-8	    5805	Encodage différent de UTF-8
5	https://fr.wikipedia.org/wiki/Atlas_(robot)	200	UTF-8	    3753	Encodage différent de UTF-8
6	https://roboty.magistry.fr	200		     166	Encodage différent de UTF-8
7	https://fr.wikipedia.org/wiki/Robot_(Leonard_de_Vinci)	404	Erreur lors de la récupération
8	https://fr.wiktionary.org/wiki/robot	200	UTF-8	   12249	Encodage différent de UTF-8
9	https://fr.wikipedia.org/wiki/Protocole_d%27exclusion_des_robots	200	UTF-8	    3971	Encodage différent de UTF-8
10	https://fr.wikipedia.org/wiki/Robotique	200	UTF-8	   21802	Encodage différent de UTF-8
